content_id,section,activity_name,lesson_page,visible,url
26d5d10b-1ce2-4dcc-960f-43c424c93629,Getting Started,About this Course,,1,https://raiselearning.org/mod/page/view.php?id=115595
127cdb41-226f-4d45-896f-3c696cc71e95,Getting Started,Teachers Start Here,Quick Start,0,https://raiselearning.org/mod/lesson/view.php?id=115596
18add95e-5edd-4c66-a847-edbcd48707ab,Getting Started,Teachers Start Here,Using Desmos,0,https://raiselearning.org/mod/lesson/view.php?id=115596&pageid=768028
9aa0d600-65a9-4a25-bba8-6a22ad0ea132,Getting Started,Teachers Start Here,Additional Resources,0,https://raiselearning.org/mod/lesson/view.php?id=115596&pageid=768029
d5070ffc-105b-4975-9319-761a2d56071e,Getting Started,Students Start Here,Quick Start,1,https://raiselearning.org/mod/lesson/view.php?id=115597
73ce7888-89ba-41aa-84e4-60a7483c388c,Getting Started,Students Start Here,Using Desmos,1,https://raiselearning.org/mod/lesson/view.php?id=115597&pageid=768031
69c004fd-ea33-46a6-a9f0-a3083c113905,Getting Started,Students Start Here,Additional Resources,1,https://raiselearning.org/mod/lesson/view.php?id=115597&pageid=768032
6acfae4c-ded2-4440-890b-da46cf14b970,Supporting All Learners,English Language Learners (ELL),Standards Overview,0,https://raiselearning.org/mod/lesson/view.php?id=115598
a50560e5-a424-43e3-a2b3-c0c575ab5a77,Supporting All Learners,English Language Learners (ELL),Aligning to the ELPS,0,https://raiselearning.org/mod/lesson/view.php?id=115598&pageid=768034
a8446223-fc56-4472-8f25-7b458e7ce29d,Supporting All Learners,English Language Learners (ELL),Navigating Resources (ELL),0,https://raiselearning.org/mod/lesson/view.php?id=115598&pageid=768035
f901afff-0eb1-4a58-b465-781a01ef4bee,Supporting All Learners,English Language Learners (ELL),Theory of Action,0,https://raiselearning.org/mod/lesson/view.php?id=115598&pageid=768036
30d3918b-7d99-4a8a-a91e-2436f8280000,Supporting All Learners,English Language Learners (ELL),Mathematical Language Routines,0,https://raiselearning.org/mod/lesson/view.php?id=115598&pageid=768037
65cd6456-8a78-45e4-bf44-726015cf531c,Supporting All Learners,English Language Learners (ELL),Resources and References for ELL,0,https://raiselearning.org/mod/lesson/view.php?id=115598&pageid=768038
